Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,12 de Noviembre,5 de Junio,Dense Urban,2568,-1.2376395,-78.6215373,1,-103.87,CONNECTED
2,12 de Noviembre,Abdón Calderón,Dense Urban,2561,-1.2367223,-78.6200311,1,-135.3,CONNECTED
3,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437791,-78.6263952,1,-125.84,CONNECTED
4,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437403,-78.6264305,1,-125.81,CONNECTED
5,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373703,-78.6211025,1,-108.29,CONNECTED
6,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373222,-78.6210299,1,-108.93,CONNECTED
7,12 de Noviembre,Cerro Negro,Dense Urban,2566,-1.2371698,-78.6207801,1,-110.93,CONNECTED
8,12 de Noviembre,Cotacachi,Dense Urban,2569,-1.2379767,-78.6221606,1,-94.76,CONNECTED
9,12 de Noviembre,Joaquín Ayllón,Dense Urban,2575,-1.2384646,-78.6229858,1,-17.68,CONNECTED
10,12 de Noviembre,Juan Benigno Vela,Dense Urban,2580,-1.240187,-78.623991,1,-106.82,CONNECTED
11,12 de Noviembre,Juan León Mera,Dense Urban,2580,-1.2437137,-78.6263326,1,-125.61,CONNECTED
12,12 de Noviembre,Luis A. Martínez,Dense Urban,2575,-1.2430973,-78.6258122,1,-123.34,CONNECTED
13,12 de Noviembre,Luis A. Martínez,Dense Urban,2576,-1.2431423,-78.6257794,1,-123.41,CONNECTED
14,12 de Noviembre,Mariano Eguez,Dense Urban,2577,-1.2424153,-78.6248975,1,-119.84,CONNECTED
15,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429911,-78.6255821,1,-122.69,CONNECTED
16,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429338,-78.6256293,1,-122.61,CONNECTED
17,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2361566,-78.6190302,5,-122.13,CONNECTED
18,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2360858,-78.6190733,5,-121.86,CONNECTED
19,12 de Noviembre,Tomás Sevilla,Dense Urban,2585,-1.241056,-78.6241566,1,-112.68,CONNECTED
20,12 de Noviembre,Unnamed Road,Dense Urban,2575,-1.2420871,-78.6244964,1,-117.99,CONNECTED
21,12 de Noviembre,Unnamed Road,Dense Urban,2578,-1.2418965,-78.6243399,1,-116.97,CONNECTED
22,12 de Noviembre,Vicente Maldonado,Dense Urban,2575,-1.2393433,-78.6237808,1,-98.23,CONNECTED
23,12 de Octubre,Bartolomé Ruiz,Residential,2631,-1.250354,-78.636515,7,-101.94,CONNECTED
24,12 de Octubre,Centa,Residential,2652,-1.2545702,-78.6391988,3,-104.1,CONNECTED
25,12 de Octubre,Doce de Octubre,Dense Urban,2632,-1.2492429,-78.6344879,0,-150,OUTAGE
26,12 de Octubre,Juan El Cano,Residential,2631,-1.249601,-78.635721,7,-100.96,CONNECTED
27,12 de Octubre,Ojeda,Residential,2634,-1.2510749,-78.637573,7,-103.09,CONNECTED
28,12 de Octubre,Pasaje 12 de Octubre,Residential,2639,-1.2527635,-78.6396495,7,-105.19,CONNECTED
29,12 de Octubre,Rábida,Residential,2633,-1.2517132,-78.6384691,7,-104.01,CONNECTED
30,13 de Abril,Avenida Atahualpa,Dense Urban,2614,-1.2468191,-78.6306444,0,-150,OUTAGE
31,13 de Abril,Avenida Los Andes,Dense Urban,2583,-1.242388,-78.6241789,1,-118.72,CONNECTED
32,13 de Abril,Juan León Mera,Dense Urban,2584,-1.2440608,-78.6259902,1,-125.94,CONNECTED
33,13 de Abril,Juan León Mera,Dense Urban,2585,-1.244189,-78.6260216,1,-126.27,CONNECTED
34,13 de Abril,Juan León Mera,Dense Urban,2585,-1.2441005,-78.6259228,1,-125.95,CONNECTED
35,13 de Abril,Unnamed Road,Dense Urban,2583,-1.2425223,-78.6242598,1,-119.32,CONNECTED
36,13 de Abril,Unnamed Road,Dense Urban,2586,-1.2436119,-78.6254352,1,-124.16,CONNECTED
37,13 de Abril,Urdaneta,Dense Urban,2587,-1.2442191,-78.6259371,1,-126.24,CONNECTED
38,13 de Diciembre,Calle 3,Residential,2593,-1.2238044,-78.6157168,1,-104,CONNECTED
39,13 de Diciembre,Calle S/N,Park/Periphery,2599,-1.2214423,-78.6172347,8,-133.53,CONNECTED
40,13 de Diciembre,Las Palmeras (El Balsamo),Park/Periphery,2599,-1.221703,-78.6170528,8,-133.39,CONNECTED
41,13 de Diciembre,Unnamed Road,Park/Periphery,2599,-1.2218082,-78.6169864,6,-133.26,CONNECTED
42,13 de Mayo,9 de Octubre,Dense Urban,2664,-1.2590349,-78.617264,4,-131.76,CONNECTED
43,13 de Mayo,José Mires,Dense Urban,2673,-1.2594199,-78.6177063,4,-131.67,CONNECTED
44,22 de Enero,Avenida Rodrigo Pachano,Residential,2560,-1.2264292,-78.6008788,6,-96.66,CONNECTED
45,22 de Enero,Avenida Rodrigo Pachano,Residential,2560,-1.2263919,-78.6009185,6,-96.62,CONNECTED
46,22 de Enero,Destacamento J. Jimenez Banga,Residential,2574,-1.2225669,-78.6058818,6,-105.19,CONNECTED
47,22 de Enero,Destacamento Pachicutza,Residential,2569,-1.2230243,-78.6051426,6,-92.72,CONNECTED
48,22 de Enero,Destacamento Pachicutza,Residential,2569,-1.222987,-78.6052004,6,-92.69,CONNECTED
49,22 de Enero,Destacamento Patuce,Residential,2580,-1.2217133,-78.607206,6,-106.36,CONNECTED
