Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,12 de Noviembre,5 de Junio,Dense Urban,2568,-1.2376395,-78.6215373,1,-123.08,CONNECTED
2,12 de Noviembre,Abdón Calderón,Dense Urban,2561,-1.2367223,-78.6200311,5,-118.15,CONNECTED
3,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437791,-78.6263952,4,-91.28,CONNECTED
4,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437403,-78.6264305,4,-91.21,CONNECTED
5,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373703,-78.6211025,5,-121.44,CONNECTED
6,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373222,-78.6210299,5,-121.2,CONNECTED
7,12 de Noviembre,Cerro Negro,Dense Urban,2566,-1.2371698,-78.6207801,5,-120.43,CONNECTED
8,12 de Noviembre,Cotacachi,Dense Urban,2569,-1.2379767,-78.6221606,1,-121.07,CONNECTED
9,12 de Noviembre,Joaquín Ayllón,Dense Urban,2575,-1.2384646,-78.6229858,1,-117.99,CONNECTED
10,12 de Noviembre,Juan Benigno Vela,Dense Urban,2580,-1.240187,-78.623991,1,-106.59,CONNECTED
11,12 de Noviembre,Juan León Mera,Dense Urban,2580,-1.2437137,-78.6263326,4,-93.08,CONNECTED
12,12 de Noviembre,Luis A. Martínez,Dense Urban,2575,-1.2430973,-78.6258122,1,-103.78,CONNECTED
13,12 de Noviembre,Luis A. Martínez,Dense Urban,2576,-1.2431423,-78.6257794,4,-103.78,CONNECTED
14,12 de Noviembre,Mariano Eguez,Dense Urban,2577,-1.2424153,-78.6248975,1,-84.59,CONNECTED
15,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429911,-78.6255821,1,-101.13,CONNECTED
16,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429338,-78.6256293,1,-101.15,CONNECTED
17,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2361566,-78.6190302,5,-115.68,CONNECTED
18,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2360858,-78.6190733,5,-115.31,CONNECTED
19,12 de Noviembre,Tomás Sevilla,Dense Urban,2585,-1.241056,-78.6241566,1,-96.84,CONNECTED
20,12 de Noviembre,Unnamed Road,Dense Urban,2575,-1.2420871,-78.6244964,1,-17.68,CONNECTED
21,12 de Noviembre,Unnamed Road,Dense Urban,2578,-1.2418965,-78.6243399,1,-72.42,CONNECTED
22,12 de Noviembre,Vicente Maldonado,Dense Urban,2575,-1.2393433,-78.6237808,1,-112.63,CONNECTED
23,12 de Octubre,Bartolomé Ruiz,Residential,2631,-1.250354,-78.636515,10,-101.96,CONNECTED
24,12 de Octubre,Centa,Residential,2652,-1.2545702,-78.6391988,7,-104.86,CONNECTED
25,12 de Octubre,Doce de Octubre,Dense Urban,2632,-1.2492429,-78.6344879,0,-150,OUTAGE
26,12 de Octubre,Juan El Cano,Residential,2631,-1.249601,-78.635721,10,-100.94,CONNECTED
27,12 de Octubre,Ojeda,Residential,2634,-1.2510749,-78.637573,10,-103.13,CONNECTED
28,12 de Octubre,Pasaje 12 de Octubre,Residential,2639,-1.2527635,-78.6396495,7,-104.96,CONNECTED
29,12 de Octubre,Rábida,Residential,2633,-1.2517132,-78.6384691,10,-104.06,CONNECTED
30,13 de Abril,Avenida Atahualpa,Dense Urban,2614,-1.2468191,-78.6306444,10,-128.76,CONNECTED
31,13 de Abril,Avenida Los Andes,Dense Urban,2583,-1.242388,-78.6241789,1,-82,CONNECTED
32,13 de Abril,Juan León Mera,Dense Urban,2584,-1.2440608,-78.6259902,4,-96.19,CONNECTED
33,13 de Abril,Juan León Mera,Dense Urban,2585,-1.244189,-78.6260216,4,-95.45,CONNECTED
34,13 de Abril,Juan León Mera,Dense Urban,2585,-1.2441005,-78.6259228,4,-97.12,CONNECTED
35,13 de Abril,Unnamed Road,Dense Urban,2583,-1.2425223,-78.6242598,1,-84.01,CONNECTED
36,13 de Abril,Unnamed Road,Dense Urban,2586,-1.2436119,-78.6254352,4,-104.25,CONNECTED
37,13 de Abril,Urdaneta,Dense Urban,2587,-1.2442191,-78.6259371,4,-96.78,CONNECTED
38,13 de Diciembre,Calle 3,Residential,2593,-1.2238044,-78.6157168,1,-106.98,CONNECTED
39,13 de Diciembre,Calle S/N,Park/Periphery,2599,-1.2214423,-78.6172347,4,-132.1,CONNECTED
40,13 de Diciembre,Las Palmeras (El Balsamo),Park/Periphery,2599,-1.221703,-78.6170528,4,-132,CONNECTED
41,13 de Diciembre,Unnamed Road,Park/Periphery,2599,-1.2218082,-78.6169864,4,-131.96,CONNECTED
42,13 de Mayo,9 de Octubre,Dense Urban,2664,-1.2590349,-78.617264,7,-133.25,CONNECTED
43,13 de Mayo,José Mires,Dense Urban,2673,-1.2594199,-78.6177063,8,-134.05,CONNECTED
44,22 de Enero,Avenida Rodrigo Pachano,Residential,2560,-1.2264292,-78.6008788,3,-90.28,CONNECTED
45,22 de Enero,Avenida Rodrigo Pachano,Residential,2560,-1.2263919,-78.6009185,3,-90.31,CONNECTED
46,22 de Enero,Destacamento J. Jimenez Banga,Residential,2574,-1.2225669,-78.6058818,3,-96.32,CONNECTED
47,22 de Enero,Destacamento Pachicutza,Residential,2569,-1.2230243,-78.6051426,3,-95.43,CONNECTED
48,22 de Enero,Destacamento Pachicutza,Residential,2569,-1.222987,-78.6052004,3,-95.5,CONNECTED
49,22 de Enero,Destacamento Patuce,Residential,2580,-1.2217133,-78.607206,3,-110.27,CONNECTED
50,22 de Enero,Destacamento Soldado Vargas,Residential,2576,-1.2222035,-78.6064579,3,-97.03,CONNECTED
51,22 de Enero,Destacamento de los Tayos,Residential,2570,-1.2238979,-78.6037841,3,-93.82,CONNECTED
52,22 de Enero,Galo Holina,Residential,2577,-1.2220197,-78.6067419,3,-97.38,CONNECTED
53,22 de Enero,Unnamed Road,Residential,2558,-1.2261415,-78.6011912,3,-90.54,CONNECTED
54,22 de Enero,Unnamed Road,Residential,2562,-1.2255935,-78.6017843,3,-91.17,CONNECTED
55,22 de Enero,Unnamed Road,Residential,2564,-1.2247158,-78.6027397,3,-92.46,CONNECTED
56,22 de Enero,Unnamed Road,Residential,2565,-1.22524,-78.6021645,3,-91.66,CONNECTED
57,22 de Enero,Unnamed Road,Residential,2565,-1.2246507,-78.6028131,3,-92.56,CONNECTED
58,22 de Enero,Unnamed Road,Residential,2566,-1.2245498,-78.6029296,3,-92.72,CONNECTED
59,22 de Enero,Unnamed Road,Residential,2569,-1.2236957,-78.6041039,3,-94.18,CONNECTED
60,22 de Enero,Unnamed Road,Residential,2569,-1.2235126,-78.604397,3,-94.51,CONNECTED
61,22 de Enero,Unnamed Road,Residential,2569,-1.2234759,-78.6044555,3,-94.58,CONNECTED
62,22 de Enero,Unnamed Road,Residential,2569,-1.2232605,-78.6047989,3,-94.99,CONNECTED
63,22 de Enero,Unnamed Road,Residential,2571,-1.2228268,-78.6054786,3,-95.82,CONNECTED
64,22 de Enero,Unnamed Road,Residential,2573,-1.2227082,-78.6056626,3,-96.05,CONNECTED
65,24 de Mayo,Avenida Pichincha,Dense Urban,2652,-1.2499551,-78.6253743,7,-114.42,CONNECTED
66,24 de Mayo,Cañar,Dense Urban,2652,-1.2497838,-78.6241509,7,-107.05,CONNECTED
67,24 de Mayo,Tungurahua,Dense Urban,2649,-1.2497133,-78.6236828,7,-103.45,CONNECTED
68,5 de Junio,Avenida Cevallos,Dense Urban,2559,-1.2369938,-78.6219568,5,-121.44,CONNECTED
69,5 de Junio,Avenida Cevallos,Dense Urban,2560,-1.2370395,-78.6219271,5,-121.53,CONNECTED
