Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,12 de Noviembre,5 de Junio,Dense Urban,2568,-1.2376395,-78.6215373,3,-135.47,CONNECTED
2,12 de Noviembre,Abdón Calderón,Dense Urban,2561,-1.2367223,-78.6200311,3,-122.49,CONNECTED
3,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437791,-78.6263952,11,-115.18,CONNECTED
4,12 de Noviembre,Avenida 12 de Noviembre,Dense Urban,2581,-1.2437403,-78.6264305,11,-114.98,CONNECTED
5,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373703,-78.6211025,3,-134.89,CONNECTED
6,12 de Noviembre,Avenida Unidad Nacional,Dense Urban,2566,-1.2373222,-78.6210299,3,-134.87,CONNECTED
7,12 de Noviembre,Cerro Negro,Dense Urban,2566,-1.2371698,-78.6207801,3,-134.89,CONNECTED
8,12 de Noviembre,Cotacachi,Dense Urban,2569,-1.2379767,-78.6221606,0,-150,OUTAGE
9,12 de Noviembre,Joaquín Ayllón,Dense Urban,2575,-1.2384646,-78.6229858,11,-118.38,CONNECTED
10,12 de Noviembre,Juan Benigno Vela,Dense Urban,2580,-1.240187,-78.623991,11,-110.5,CONNECTED
11,12 de Noviembre,Juan León Mera,Dense Urban,2580,-1.2437137,-78.6263326,11,-114.86,CONNECTED
12,12 de Noviembre,Luis A. Martínez,Dense Urban,2575,-1.2430973,-78.6258122,11,-111.87,CONNECTED
13,12 de Noviembre,Luis A. Martínez,Dense Urban,2576,-1.2431423,-78.6257794,11,-112.18,CONNECTED
14,12 de Noviembre,Mariano Eguez,Dense Urban,2577,-1.2424153,-78.6248975,11,-110.55,CONNECTED
15,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429911,-78.6255821,11,-111.65,CONNECTED
16,12 de Noviembre,Marieta de Veintimilla,Dense Urban,2576,-1.2429338,-78.6256293,11,-111.21,CONNECTED
17,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2361566,-78.6190302,12,-120.4,CONNECTED
18,12 de Noviembre,Redondel de Cumandá,Dense Urban,2555,-1.2360858,-78.6190733,12,-120.56,CONNECTED
19,12 de Noviembre,Tomás Sevilla,Dense Urban,2585,-1.241056,-78.6241566,11,-109.76,CONNECTED
20,12 de Noviembre,Unnamed Road,Dense Urban,2575,-1.2420871,-78.6244964,11,-110.87,CONNECTED
21,12 de Noviembre,Unnamed Road,Dense Urban,2578,-1.2418965,-78.6243399,11,-110.95,CONNECTED
22,12 de Noviembre,Vicente Maldonado,Dense Urban,2575,-1.2393433,-78.6237808,11,-113.07,CONNECTED
23,12 de Octubre,Bartolomé Ruiz,Residential,2631,-1.250354,-78.636515,2,-90.21,CONNECTED
24,12 de Octubre,Centa,Residential,2652,-1.2545702,-78.6391988,4,-104.69,CONNECTED
25,12 de Octubre,Doce de Octubre,Dense Urban,2632,-1.2492429,-78.6344879,2,-117.28,CONNECTED
26,12 de Octubre,Juan El Cano,Residential,2631,-1.249601,-78.635721,2,-87.57,CONNECTED
27,12 de Octubre,Ojeda,Residential,2634,-1.2510749,-78.637573,2,-92.86,CONNECTED
28,12 de Octubre,Pasaje 12 de Octubre,Residential,2639,-1.2527635,-78.6396495,2,-97.15,CONNECTED
29,12 de Octubre,Rábida,Residential,2633,-1.2517132,-78.6384691,2,-94.8,CONNECTED
30,13 de Abril,Avenida Atahualpa,Dense Urban,2614,-1.2468191,-78.6306444,2,-112.21,CONNECTED
31,13 de Abril,Avenida Los Andes,Dense Urban,2583,-1.242388,-78.6241789,11,-113.48,CONNECTED
32,13 de Abril,Juan León Mera,Dense Urban,2584,-1.2440608,-78.6259902,11,-116.67,CONNECTED
33,13 de Abril,Juan León Mera,Dense Urban,2585,-1.244189,-78.6260216,11,-117.22,CONNECTED
34,13 de Abril,Juan León Mera,Dense Urban,2585,-1.2441005,-78.6259228,11,-116.89,CONNECTED
35,13 de Abril,Unnamed Road,Dense Urban,2583,-1.2425223,-78.6242598,11,-113.64,CONNECTED
36,13 de Abril,Unnamed Road,Dense Urban,2586,-1.2436119,-78.6254352,11,-115.17,CONNECTED
37,13 de Abril,Urdaneta,Dense Urban,2587,-1.2442191,-78.6259371,11,-117.4,CONNECTED
38,13 de Diciembre,Calle 3,Residential,2593,-1.2238044,-78.6157168,8,-70.79,CONNECTED
39,13 de Diciembre,Calle S/N,Park/Periphery,2599,-1.2214423,-78.6172347,8,-105.47,CONNECTED
