Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,Abelardo Montalvo,Paseo de los Cañaris,Residential,2483,-2.901577,-78.9854366,3,-103.22,CONNECTED
2,Abelardo Ortega,Francisco Paredes Herrera,Residential,2583,-2.8894599,-79.0209967,6,-75.16,CONNECTED
3,Abelardo Ortega,Mariscal Lamar,Dense Urban,2585,-2.8897897,-79.0219148,6,-98.2,CONNECTED
4,Abraham Sarmiento,Antonio Vega Muñoz,Residential,2571,-2.8902664,-79.0142927,12,-93.81,CONNECTED
5,Abraham Sarmiento,Avenida de las Américas,Residential,2583,-2.8889478,-79.0146318,12,-94.25,CONNECTED
6,Abraham Sarmiento,Gaspar Sangurima,Residential,2566,-2.8912646,-79.014343,12,-94.26,CONNECTED
7,Abraham Sarmiento,Gran Colombia,Dense Urban,2563,-2.8932079,-79.0146189,14,-110.45,CONNECTED
8,Abraham Sarmiento,Mariscal Lamar,Residential,2568,-2.8922588,-79.0143935,12,-94.88,CONNECTED
9,Abraham Sarmiento,Unnamed Road,Residential,2574,-2.889635,-79.0142625,12,-93.64,CONNECTED
10,Abraham Sarmiento,Unnamed Road,Residential,2576,-2.8893463,-79.0143075,12,-93.69,CONNECTED
11,Achupallas,Ciudad de Machala,Residential,2511,-2.9153176,-78.9891018,1,-87.89,CONNECTED
12,Achupallas,Vilcabamba,Residential,2508,-2.915003,-78.9883818,1,-89.63,CONNECTED
13,Adolfo Torres,Avenida 10 de Agosto,Residential,2528,-2.9113315,-79.0077992,11,-80.22,CONNECTED
14,Adolfo Torres,Avenida 10 de Agosto,Residential,2528,-2.9112397,-79.0077747,11,-80.43,CONNECTED
15,Adolfo Torres,Avenida 27 de Febrero,Residential,2523,-2.9147412,-79.0069647,11,-74.48,CONNECTED
16,Adolfo Torres,Belisario Andrade,Dense Urban,2524,-2.913103,-79.0077177,11,-107.78,CONNECTED
17,Adolfo Torres,Francisco Carrasco,Residential,2527,-2.9117819,-79.0079167,11,-79.32,CONNECTED
18,Adolfo Torres,José Edmundo Maldonaldo Samaniego,Residential,2524,-2.9137342,-79.0072723,11,-72.59,CONNECTED
19,Adolfo Torres,Pedro Janner,Residential,2522,-2.9140817,-79.0070789,11,-72.09,CONNECTED
20,Adriano Del Valle,Cristóbal Colón,Residential,2561,-2.9120564,-79.025744,8,-89.3,CONNECTED
21,Adriano Del Valle,Federico Garcia Lorca,Residential,2559,-2.9112246,-79.0255124,8,-89.59,CONNECTED
22,Agustín Cueva Tamariz,Del Arupo,Dense Urban,2498,-2.9116252,-78.9940931,1,-113.66,CONNECTED
23,Agustín Cueva Vallejo,Alfonso Moreno Mora,Residential,2532,-2.9081728,-79.0130319,9,-79.8,CONNECTED
24,Agustín Cueva Vallejo,Aurelio Aguilar V.,Park/Periphery,2532,-2.9028827,-79.0099129,9,-111.49,CONNECTED
25,Agustín Cueva Vallejo,Aurelio Aguilar V.,Park/Periphery,2533,-2.9024672,-79.0104504,9,-111.03,CONNECTED
26,Agustín Cueva Vallejo,Avenida 10 de Agosto,Residential,2536,-2.9095854,-79.0133657,9,-83.45,CONNECTED
27,Agustín Cueva Vallejo,Avenida 10 de Agosto,Residential,2536,-2.9095596,-79.0134293,9,-83.24,CONNECTED
28,Agustín Cueva Vallejo,Avenida 10 de Agosto,Residential,2537,-2.9096695,-79.0134233,9,-83.61,CONNECTED
29,Agustín Cueva Vallejo,Avenida 12 de Abril,Residential,2525,-2.9008893,-79.0080736,13,-88.21,CONNECTED
30,Agustín Cueva Vallejo,Avenida 12 de Abril,Residential,2526,-2.9008197,-79.008005,13,-88.12,CONNECTED
31,Agustín Cueva Vallejo,Avenida Remigio Crespo Toral,Dense Urban,2533,-2.9053528,-79.0116284,9,-117.37,CONNECTED
32,Agustín Cueva Vallejo,Avenida Remigio Crespo Toral,Dense Urban,2533,-2.9052823,-79.0115614,9,-117.74,CONNECTED
33,Agustín Cueva Vallejo,Carlos Abad Piedra,Residential,2532,-2.9090566,-79.0132789,9,-81.9,CONNECTED
34,Agustín Cueva Vallejo,Daniel Córdova,Residential,2530,-2.9018854,-79.0088157,13,-89.3,CONNECTED
35,Agustín Cueva Vallejo,Dolores de Veintimilla,Residential,2534,-2.9039317,-79.0106226,9,-88.19,CONNECTED
36,Agustín Cueva Vallejo,Gonzalo Cordero Dávila,Dense Urban,2533,-2.9069482,-79.0127348,9,-111.18,CONNECTED
37,Agustín Cueva Vallejo,Honorato Loyola,Residential,2534,-2.9036557,-79.0104293,9,-88.97,CONNECTED
38,Agustín Cueva Vallejo,Inés Salcedo,Residential,2532,-2.9023189,-79.0095309,13,-90.8,CONNECTED
39,Agustín Cueva Vallejo,Padre Julio Matovelle,Dense Urban,2533,-2.9059976,-79.0120672,9,-114.74,CONNECTED
40,Agustín Cueva Vallejo,Remigio Astudillo,Residential,2532,-2.9083098,-79.0130738,9,-80.07,CONNECTED
41,Agustín Cueva Vallejo,Remigio Tamariz Crespo,Residential,2532,-2.9044066,-79.010955,9,-86.78,CONNECTED
42,Agustín Iglesias,Pedro Lopez De Argudo,Dense Urban,2673,-2.8808655,-79.0159397,15,-103.48,CONNECTED
43,Alberto Coronel O.,Avenida 3 de Noviembre,Dense Urban,2538,-2.8972972,-79.0126242,14,-114.13,CONNECTED
44,Alberto Coronel O.,Avenida 3 de Noviembre,Dense Urban,2538,-2.8972569,-79.012571,14,-114.26,CONNECTED
45,Alberto Coronel O.,Juan De Dios Corral,Dense Urban,2541,-2.8969468,-79.0121282,14,-115.52,CONNECTED
46,Alberto Einstein,Avenida Del Chofer,Residential,2596,-2.8864356,-79.009173,12,-97.9,CONNECTED
47,Alberto Einstein,Humboldt,Residential,2613,-2.8854935,-79.0093903,12,-102.87,CONNECTED
48,Alberto Guerrero Martinez,Antonio Pons,Dense Urban,2484,-2.9007673,-78.9867361,3,-125.04,CONNECTED
49,Alberto Guerrero Martinez,Aurelio Mosquera Narváez,Dense Urban,2483,-2.9005817,-78.986546,3,-126.1,CONNECTED
50,Alberto Guerrero Martinez,Aurelio Mosquera Narváez,Dense Urban,2483,-2.9005354,-78.9864673,3,-126.64,CONNECTED
51,Alberto Guerrero Martinez,Luis Larrea Alba,Dense Urban,2484,-2.9012169,-78.9871839,3,-124.93,CONNECTED
52,Alberto Guerrero Martinez,Unnamed Road,Dense Urban,2485,-2.9011079,-78.9870849,3,-124.41,CONNECTED
53,Alberto Muñoz Vernaza,Antonio Vargas Machuca,Dense Urban,2550,-2.8908137,-78.9988366,2,-122.29,CONNECTED
54,Alberto Muñoz Vernaza,Benigno Malo,Residential,2563,-2.8896643,-79.0034928,12,-80.72,CONNECTED
55,Alberto Muñoz Vernaza,Coronel Talbot,Dense Urban,2570,-2.8890984,-79.0097822,12,-114.99,CONNECTED
56,Alberto Muñoz Vernaza,De La Merced,Dense Urban,2550,-2.8910267,-78.997833,2,-119.6,CONNECTED
57,Alberto Muñoz Vernaza,Estévez de Toral,Dense Urban,2566,-2.8890843,-79.0086485,12,-107.97,CONNECTED
58,Alberto Muñoz Vernaza,General Torres,Dense Urban,2569,-2.8893768,-79.0055566,12,-95.34,CONNECTED
59,Alberto Muñoz Vernaza,Juan Montalvo,Residential,2563,-2.8890659,-79.0075366,12,-65.53,CONNECTED
60,Alberto Muñoz Vernaza,Luis Cordero,Residential,2562,-2.8898174,-79.0025449,12,-84.5,CONNECTED
61,Alberto Muñoz Vernaza,Mariano Cueva,Residential,2553,-2.8906406,-78.9997454,2,-101.98,CONNECTED
62,Alberto Muñoz Vernaza,Padre Aguirre,Dense Urban,2566,-2.8894699,-79.004839,12,-104.29,CONNECTED
63,Alberto Muñoz Vernaza,Padre Aguirre,Dense Urban,2568,-2.8895289,-79.0044448,12,-107.73,CONNECTED
64,Alberto Muñoz Vernaza,Presidente Borrero,Residential,2558,-2.8899578,-79.0016577,12,-87.3,CONNECTED
65,Alberto Muñoz Vernaza,Salazar Lozano,Residential,2561,-2.8897155,-79.0031403,12,-82.25,CONNECTED
66,Alberto Muñoz Vernaza,Tarqui,Dense Urban,2562,-2.8892247,-79.0065108,12,-62.8,CONNECTED
67,Alberto Muñoz Vernaza,Unnamed Road,Dense Urban,2566,-2.889623,-79.0038499,12,-111.87,CONNECTED
68,Alberto Palacios,Alejandro Vega Toral,Dense Urban,2520,-2.9093661,-79.0065906,11,-118.63,CONNECTED
69,Alberto Palacios,Luis Moreno Mora,Dense Urban,2519,-2.91003,-79.0066638,11,-115.91,CONNECTED
70,Alberto Palacios,Miguel Cordero Dávila,Dense Urban,2522,-2.9089442,-79.0065408,11,-120.17,CONNECTED
71,Alejandro Carrión,Enrique Gil Gilbert,Dense Urban,2486,-2.9044369,-78.9885851,0,-150,OUTAGE
72,Alejandro Carrión,Jorge Carrera Andrade,Dense Urban,2483,-2.9049101,-78.989202,7,-134.4,CONNECTED
73,Alejandro Nivelo Zúñiga,Avenida 24 de Mayo,Dense Urban,2495,-2.9158837,-78.9964159,1,-110.81,CONNECTED
74,Alejandro Nivelo Zúñiga,Cajabamba,Residential,2514,-2.9174773,-78.9957825,1,-81.54,CONNECTED
