Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,Abdón Calderón Muñoz,Avenida 6 de Diciembre,Residential,2793,-0.1609135,-78.476594,6,-84.76,CONNECTED
2,Abdón Calderón Muñoz,Avenida de los Shyris,Residential,2788,-0.1618944,-78.4782878,6,-79.92,CONNECTED
3,Abel Gilbert,Antonio Flores Jijón,Residential,2885,-0.1872205,-78.4725904,2,-80.78,CONNECTED
4,Abel Gilbert,Borrero,Park/Periphery,2881,-0.1862094,-78.4723991,2,-104.21,CONNECTED
5,Agustin Franco,Jiménez de la Espada,Residential,2803,-0.1933831,-78.4803204,9,-86.21,CONNECTED
6,Agustin Franco,Juan Ignacio Pareja,Residential,2780,-0.1930476,-78.4809704,1,-79.3,CONNECTED
7,Agustin Guerrero,Japón,Residential,2773,-0.1708426,-78.4828353,4,-91.76,CONNECTED
8,Agustin Guerrero,Jose Maria Ayora,Residential,2789,-0.1706294,-78.4839699,7,-60.64,CONNECTED
9,Agustin Guerrero,Julio Alarcon,Residential,2782,-0.170738,-78.4834328,7,-68.45,CONNECTED
10,Alberto Coloma Silva,Bernardo Rodriguez,Residential,2523,-0.1865628,-78.4475981,10,-91.35,CONNECTED
11,Alberto Guerrero Martínez,Federico Paez,Residential,2843,-0.1845403,-78.4750818,3,-102.84,CONNECTED
12,Alberto Guerrero Martínez,Francisco Arízaga Luque,Residential,2850,-0.1826192,-78.4740651,3,-104.48,CONNECTED
13,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1826168,-78.4735134,2,-91.92,CONNECTED
14,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1822902,-78.4734369,2,-92.58,CONNECTED
15,Alberto Guerrero Martínez,Unnamed Road,Residential,2843,-0.1843475,-78.4750253,3,-102.68,CONNECTED
16,Alberto Larrea,Juan Severino,Dense Urban,2776,-0.191137,-78.4825504,1,-76.88,CONNECTED
17,Alberto Mena,Avenida González Suárez,Residential,2851,-0.1941651,-78.4773459,9,-108.01,CONNECTED
18,Alberto Mena,Avenida la Coruña,Residential,2839,-0.1936849,-78.478356,9,-105.68,CONNECTED
19,Alberto Mena,Avenida la Coruña,Residential,2840,-0.1937234,-78.4782726,9,-105.87,CONNECTED
20,Alberto Mena,E13C,Residential,2847,-0.1940043,-78.4776656,9,-107.26,CONNECTED
21,Alemania,Avenida Río Amazonas,Park/Periphery,2784,-0.1861319,-78.4874426,5,-105.73,CONNECTED
22,Alfonso Pereira,Avenida 10 de Agosto,Residential,2791,-0.1711232,-78.4873791,7,-79.51,CONNECTED
