Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,Abdón Calderón Muñoz,Avenida 6 de Diciembre,Residential,2793,-0.1609135,-78.476594,1,-97.26,CONNECTED
2,Abdón Calderón Muñoz,Avenida de los Shyris,Residential,2788,-0.1618944,-78.4782878,1,-96.2,CONNECTED
3,Abel Gilbert,Antonio Flores Jijón,Residential,2885,-0.1872205,-78.4725904,2,-122.33,CONNECTED
4,Abel Gilbert,Borrero,Park/Periphery,2881,-0.1862094,-78.4723991,5,-133.04,CONNECTED
5,Agustin Franco,Jiménez de la Espada,Residential,2803,-0.1933831,-78.4803204,2,-99.17,CONNECTED
6,Agustin Franco,Juan Ignacio Pareja,Residential,2780,-0.1930476,-78.4809704,2,-85.09,CONNECTED
7,Agustin Guerrero,Japón,Residential,2773,-0.1708426,-78.4828353,1,-91.53,CONNECTED
8,Agustin Guerrero,Jose Maria Ayora,Residential,2789,-0.1706294,-78.4839699,1,-93.72,CONNECTED
9,Agustin Guerrero,Julio Alarcon,Residential,2782,-0.170738,-78.4834328,1,-92.72,CONNECTED
10,Alberto Coloma Silva,Bernardo Rodriguez,Residential,2523,-0.1865628,-78.4475981,4,-121.86,CONNECTED
11,Alberto Guerrero Martínez,Federico Paez,Residential,2843,-0.1845403,-78.4750818,1,-118.92,CONNECTED
12,Alberto Guerrero Martínez,Francisco Arízaga Luque,Residential,2850,-0.1826192,-78.4740651,1,-117.49,CONNECTED
13,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1826168,-78.4735134,5,-109.14,CONNECTED
14,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1822902,-78.4734369,5,-108.95,CONNECTED
15,Alberto Guerrero Martínez,Unnamed Road,Residential,2843,-0.1843475,-78.4750253,1,-118.73,CONNECTED
16,Alberto Larrea,Juan Severino,Dense Urban,2776,-0.191137,-78.4825504,2,-121.66,CONNECTED
17,Alberto Mena,Avenida González Suárez,Residential,2851,-0.1941651,-78.4773459,2,-110.61,CONNECTED
18,Alberto Mena,Avenida la Coruña,Residential,2839,-0.1936849,-78.478356,2,-108,CONNECTED
19,Alberto Mena,Avenida la Coruña,Residential,2840,-0.1937234,-78.4782726,2,-108.22,CONNECTED
20,Alberto Mena,E13C,Residential,2847,-0.1940043,-78.4776656,2,-109.79,CONNECTED
21,Alemania,Avenida Río Amazonas,Park/Periphery,2784,-0.1861319,-78.4874426,2,-118.55,CONNECTED
22,Alfonso Pereira,Avenida 10 de Agosto,Residential,2791,-0.1711232,-78.4873791,1,-98.75,CONNECTED
23,Alfonso Pereira,Avenida Río Amazonas,Residential,2785,-0.1716202,-78.4847729,1,-95.11,CONNECTED
24,Alfonso Pereira,Avenida Río Amazonas,Residential,2787,-0.171598,-78.4848906,1,-95.29,CONNECTED
25,Alfonso Pereira,Coronel Conor,Residential,2789,-0.1713634,-78.4861395,1,-97.13,CONNECTED
26,Alfonso Pereira,Iñaquito,Residential,2789,-0.1712526,-78.4867323,1,-97.92,CONNECTED
27,Alfonso Pereira,Japón,Residential,2779,-0.1719271,-78.4830332,1,-92.06,CONNECTED
28,Alfonso Pereira,Jorge Drom,Residential,2785,-0.1714732,-78.4855816,1,-96.34,CONNECTED
29,Alfonso Pereira,Jose Maria Ayora,Residential,2773,-0.1717335,-78.4841326,1,-94.06,CONNECTED
30,Alfonso Pereira,Julio Alarcon,Residential,2781,-0.1718278,-78.4836296,1,-93.18,CONNECTED
31,Alfonso Rumazo Gonzalez,Juan de Illanes,Residential,2861,-0.1710438,-78.4693267,5,-99.41,CONNECTED
32,Alfonso Rumazo Gonzalez,Unnamed Road,Residential,2868,-0.1706402,-78.4686555,5,-98.51,CONNECTED
33,Alfonso de Lamartine,Avenida París,Dense Urban,2781,-0.1666982,-78.4783038,1,-121.28,CONNECTED
34,Alfonso de Lamartine,Pablo Claudel,Dense Urban,2782,-0.1667879,-78.4778129,1,-120.28,CONNECTED
35,Alpallana,Antonio Navarro,Residential,2779,-0.1922447,-78.4848286,2,-82.87,CONNECTED
36,Alpallana,Avenida 6 de Diciembre,Dense Urban,2777,-0.1955531,-78.4827892,2,-100.98,CONNECTED
37,Alpallana,Avenida Diego de Almagro,Dense Urban,2780,-0.1950441,-78.4836558,2,-93.41,CONNECTED
38,Alpallana,Avenida Diego de Almagro,Dense Urban,2781,-0.1949287,-78.4836907,2,-94.81,CONNECTED
39,Alpallana,Francisco Flor,Residential,2776,-0.1914261,-78.4852039,2,-85.92,CONNECTED
40,Alpallana,Martín Carrion,Residential,2772,-0.1934054,-78.4843382,2,-77.1,CONNECTED
41,Alpallana,Whymper,Residential,2777,-0.1924799,-78.4847159,2,-81.85,CONNECTED
42,Antisana,Avenida Ilinza,Park/Periphery,2567,-0.1804475,-78.4477132,0,-150,OUTAGE
43,Antisana,S17b,Park/Periphery,2565,-0.1812137,-78.448445,4,-127.02,CONNECTED
44,Antonio Flores Jijón,Ignacio Lasso,Residential,2871,-0.1872867,-78.4736914,5,-111.42,CONNECTED
45,Antonio Flores Jijón,José Carbo,Residential,2875,-0.1873091,-78.4734124,5,-111.37,CONNECTED
46,Antonio Flores Jijón,Manuel Sotomayor,Residential,2893,-0.1870761,-78.472072,2,-123.14,CONNECTED
47,Antonio Flores Jijón,Quiteño Libre,Residential,2865,-0.187253,-78.4742735,5,-111.53,CONNECTED
48,Antonio Flores Jijón,Sotomayor,Park/Periphery,2905,-0.1873519,-78.470192,0,-150,OUTAGE
49,Antonio Navarro,Avenida de los Shyris,Residential,2773,-0.1901099,-78.4820162,2,-90.17,CONNECTED
50,Antonio Navarro,Carlos Tobar,Dense Urban,2769,-0.1918287,-78.484039,2,-118.04,CONNECTED
51,Antonio Navarro,Francisco Andrade Marin,Dense Urban,2776,-0.1913852,-78.4832871,2,-120.12,CONNECTED
52,Antonio Navarro,Juan Severino,Dense Urban,2773,-0.1910183,-78.4828518,2,-121.74,CONNECTED
53,Antonio Navarro,Pablo Suarez,Residential,2771,-0.1904382,-78.4825943,2,-88.98,CONNECTED
54,Antonio Navarro,Unnamed Road,Residential,2773,-0.1920443,-78.48445,2,-83.44,CONNECTED
55,Arosemena Tola,Avenida General Eloy Alfaro,Residential,2821,-0.1796711,-78.4741048,1,-110.9,CONNECTED
56,Arosemena Tola,Avenida General Eloy Alfaro,Residential,2823,-0.1795499,-78.4740704,1,-110.98,CONNECTED
57,Arosemena Tola,Eduardo Salazar Gomez,Residential,2846,-0.1780688,-78.472558,1,-111.71,CONNECTED
58,Arosemena Tola,Guanguiltagua,Park/Periphery,2852,-0.177652,-78.4721473,1,-132.67,CONNECTED
59,Arosemena Tola,Guanguiltagua,Park/Periphery,2858,-0.1771805,-78.4717039,5,-127.32,CONNECTED
60,Arosemena Tola,Juan de Dios Martinez,Residential,2838,-0.1789043,-78.4733615,1,-111.83,CONNECTED
61,Augusto Egas,José Bosmediano,Residential,2867,-0.1893547,-78.4748036,5,-112.54,CONNECTED
62,Austria,Checoslovaquia,Residential,2776,-0.1857292,-78.4800361,2,-98.29,CONNECTED
63,Austria,Irlanda,Residential,2780,-0.1839469,-78.4796958,2,-100.4,CONNECTED
64,Avenida 10 de Agosto,Avenida América,Residential,2786,-0.1680322,-78.4873742,1,-99.2,CONNECTED
65,Avenida 10 de Agosto,Avenida América,Residential,2788,-0.1683735,-78.487224,1,-98.93,CONNECTED
66,Avenida 10 de Agosto,Avenida El Inca,Residential,2790,-0.1604,-78.4857215,1,-102.08,CONNECTED
67,Avenida 10 de Agosto,Avenida Gaspar de Villarroel,Residential,2779,-0.1682843,-78.4865534,1,-98.14,CONNECTED
68,Avenida 10 de Agosto,Avenida Gaspar de Villarroel,Residential,2780,-0.1684632,-78.48678,1,-98.36,CONNECTED
69,Avenida 10 de Agosto,Avenida Juan José Villalengua,Residential,2788,-0.1725159,-78.4876469,1,-99.2,CONNECTED
70,Avenida 10 de Agosto,Avenida Juan de Ascaray,Residential,2783,-0.1667263,-78.4863097,1,-98.48,CONNECTED
71,Avenida 10 de Agosto,Avenida Juan de Ascaray,Residential,2784,-0.1669958,-78.4863197,1,-98.36,CONNECTED
72,Avenida 10 de Agosto,Avenida Río Coca,Residential,2790,-0.1615169,-78.4856464,1,-101.22,CONNECTED
73,Avenida 10 de Agosto,Avenida de la Prensa,Residential,2784,-0.166808,-78.4871503,1,-99.4,CONNECTED
74,Avenida 10 de Agosto,Avenida de la Prensa,Residential,2792,-0.1664175,-78.4867331,1,-99.11,CONNECTED
75,Avenida 10 de Agosto,Fray José Falconí,Residential,2784,-0.1628444,-78.4858813,1,-100.45,CONNECTED
76,Avenida 10 de Agosto,Fray José Falconí,Residential,2784,-0.1627974,-78.4857919,1,-100.41,CONNECTED
77,Avenida 10 de Agosto,Fray José Falconí,Residential,2785,-0.1628354,-78.4859573,1,-100.52,CONNECTED
78,Avenida 10 de Agosto,Fray José Falconí,Residential,2786,-0.1628253,-78.48602,1,-100.58,CONNECTED
79,Avenida 10 de Agosto,Joaquín Auz,Residential,2792,-0.1736785,-78.4878765,1,-99.71,CONNECTED
80,Avenida 10 de Agosto,José Arizaga,Residential,2793,-0.1698874,-78.4871655,1,-98.55,CONNECTED
81,Avenida 10 de Agosto,Juan Diguja,Residential,2796,-0.1718509,-78.4877163,1,-99.2,CONNECTED
82,Avenida 10 de Agosto,Papallacta,Residential,2786,-0.1619944,-78.4859205,1,-101.08,CONNECTED
83,Avenida 10 de Agosto,Rio Cofanes,Residential,2786,-0.1623644,-78.4857579,1,-100.69,CONNECTED
84,Avenida 6 de Diciembre,Avenida Diego de Almagro,Residential,2774,-0.1909851,-78.4819353,2,-88.26,CONNECTED
85,Avenida 6 de Diciembre,Avenida Diego de Almagro,Residential,2776,-0.1913208,-78.4818164,2,-87.6,CONNECTED
86,Avenida 6 de Diciembre,Avenida Francisco de Orellana,Dense Urban,2770,-0.1986509,-78.4843808,2,-112.99,CONNECTED
87,Avenida 6 de Diciembre,Avenida Francisco de Orellana,Dense Urban,2771,-0.1986831,-78.484263,2,-113.14,CONNECTED
88,Avenida 6 de Diciembre,Avenida Francisco de Orellana,Dense Urban,2773,-0.1987438,-78.4844232,2,-113.52,CONNECTED
89,Avenida 6 de Diciembre,Avenida Francisco de Orellana,Dense Urban,2774,-0.1987883,-78.4843147,2,-113.73,CONNECTED
90,Avenida 6 de Diciembre,Avenida Gaspar de Villarroel,Residential,2781,-0.1709844,-78.4761659,1,0.32,CONNECTED
91,Avenida 6 de Diciembre,Avenida Gaspar de Villarroel,Residential,2781,-0.1709537,-78.476318,1,-39.26,CONNECTED
92,Avenida 6 de Diciembre,Avenida Gaspar de Villarroel,Residential,2781,-0.1708886,-78.4761638,1,-32.56,CONNECTED
93,Avenida 6 de Diciembre,Avenida Gaspar de Villarroel,Residential,2782,-0.1708573,-78.4763177,1,-42.66,CONNECTED
94,Avenida 6 de Diciembre,Avenida General Eloy Alfaro,Residential,2777,-0.1870583,-78.4796752,2,-96.87,CONNECTED
95,Avenida 6 de Diciembre,Avenida General Eloy Alfaro,Residential,2779,-0.1868714,-78.479608,2,-97.14,CONNECTED
96,Avenida 6 de Diciembre,Avenida General Eloy Alfaro,Residential,2781,-0.1867438,-78.4794261,2,-97.42,CONNECTED
97,Avenida 6 de Diciembre,Avenida General Eloy Alfaro,Residential,2782,-0.1869239,-78.4794813,2,-97.16,CONNECTED
98,Avenida 6 de Diciembre,Avenida Naciones Unidas,Residential,2781,-0.1774402,-78.4778976,1,-91.55,CONNECTED
99,Avenida 6 de Diciembre,Avenida Naciones Unidas,Residential,2781,-0.1774097,-78.4780515,1,-91.58,CONNECTED
100,Avenida 6 de Diciembre,Avenida Naciones Unidas,Residential,2781,-0.1771968,-78.4778418,1,-91.03,CONNECTED
101,Avenida 6 de Diciembre,Avenida Naciones Unidas,Residential,2781,-0.1771674,-78.4779969,1,-91.06,CONNECTED
102,Avenida 6 de Diciembre,Avenida Paul Rivet,Dense Urban,2786,-0.1964687,-78.483117,2,-99.43,CONNECTED
103,Avenida 6 de Diciembre,Avenida Paul Rivet,Dense Urban,2786,-0.196403,-78.4830774,2,-99.41,CONNECTED
104,Avenida 6 de Diciembre,Avenida Portugal,Residential,2781,-0.1820074,-78.4787835,1,-98.89,CONNECTED
105,Avenida 6 de Diciembre,Avenida Portugal,Residential,2782,-0.1822336,-78.4786752,1,-99.13,CONNECTED
106,Avenida 6 de Diciembre,Avenida Portugal,Residential,2782,-0.1821402,-78.4788025,1,-99.05,CONNECTED
107,Avenida 6 de Diciembre,Avenida Portugal,Residential,2782,-0.1821277,-78.4786591,1,-99,CONNECTED
108,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2790,-0.1633756,-78.4753226,1,-93.44,CONNECTED
109,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2791,-0.1635237,-78.4750863,1,-93.23,CONNECTED
110,Avenida 6 de Diciembre,Avenida Río Coca,Dense Urban,2791,-0.1634748,-78.4752995,1,-128.81,CONNECTED
111,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2791,-0.1634207,-78.4751119,1,-93.41,CONNECTED
112,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2784,-0.1657405,-78.4756293,1,-88.25,CONNECTED
113,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2784,-0.1656712,-78.4756157,1,-88.44,CONNECTED
114,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2785,-0.1657665,-78.4754842,1,-88.23,CONNECTED
115,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2785,-0.1656988,-78.4754715,1,-88.41,CONNECTED
116,Avenida 6 de Diciembre,Avenida de la República,Dense Urban,2774,-0.1970517,-78.4835537,2,-101.35,CONNECTED
117,Avenida 6 de Diciembre,Avenida de la República,Dense Urban,2775,-0.196947,-78.4835011,2,-100.54,CONNECTED
118,Avenida 6 de Diciembre,Avenida de las Palmeras,Residential,2790,-0.163172,-78.4752407,1,-93.82,CONNECTED
119,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2786,-0.1692242,-78.476338,1,-73.08,CONNECTED
120,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2786,-0.1692118,-78.476206,1,-73.12,CONNECTED
121,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2787,-0.169316,-78.4762116,1,-72.28,CONNECTED
122,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2787,-0.1693063,-78.4763527,1,-72.44,CONNECTED
123,Avenida 6 de Diciembre,Avenida de los Shyris,Residential,2772,-0.1902654,-78.481534,2,-90.28,CONNECTED
124,Avenida 6 de Diciembre,Avenida de los Shyris,Residential,2774,-0.1906829,-78.4818396,2,-89.07,CONNECTED
125,Avenida 6 de Diciembre,Avenida de los Shyris,Park/Periphery,2792,-0.159733,-78.4772427,1,-120.15,CONNECTED
126,Avenida 6 de Diciembre,Belo Horizonte,Dense Urban,2776,-0.1974945,-78.4837893,2,-104.9,CONNECTED
127,Avenida 6 de Diciembre,Belo Horizonte,Dense Urban,2779,-0.1975883,-78.4837031,2,-105.91,CONNECTED
128,Avenida 6 de Diciembre,Bélgica,Residential,2770,-0.1899021,-78.4811634,2,-91.35,CONNECTED
129,Avenida 6 de Diciembre,California,Residential,2787,-0.1781909,-78.4782045,1,-93.14,CONNECTED
130,Avenida 6 de Diciembre,Checoslovaquia,Residential,2777,-0.1858723,-78.4793804,2,-98.46,CONNECTED
131,Avenida 6 de Diciembre,Checoslovaquia,Residential,2779,-0.1856763,-78.4792081,2,-98.78,CONNECTED
132,Avenida 6 de Diciembre,De los Angeles,Residential,2791,-0.1614465,-78.4761721,1,-96.5,CONNECTED
133,Avenida 6 de Diciembre,El Batán,Residential,2779,-0.1835319,-78.4788548,1,-100.62,CONNECTED
134,Avenida 6 de Diciembre,El Comercio,Residential,2786,-0.1761346,-78.4777172,1,-88.54,CONNECTED
135,Avenida 6 de Diciembre,El Jardin,Residential,2787,-0.1803003,-78.4785534,1,-96.61,CONNECTED
136,Avenida 6 de Diciembre,El Mercurio,Residential,2778,-0.1747025,-78.4773459,1,-84.07,CONNECTED
137,Avenida 6 de Diciembre,El Telégrafo,Residential,2785,-0.1735896,-78.477051,1,-79.22,CONNECTED
138,Avenida 6 de Diciembre,Ernesto Noboa Caamaño,Dense Urban,2775,-0.1971257,-78.483464,2,-102.53,CONNECTED
139,Avenida 6 de Diciembre,Ernesto Noboa Caamaño,Dense Urban,2777,-0.1970423,-78.4834199,2,-101.97,CONNECTED
140,Avenida 6 de Diciembre,Gaspar Cañero,Residential,2781,-0.1828304,-78.4787621,1,-99.83,CONNECTED
141,Avenida 6 de Diciembre,Germán Alemán,Residential,2785,-0.1794133,-78.47826,1,-95.19,CONNECTED
142,Avenida 6 de Diciembre,Gonzalo Serrano,Residential,2777,-0.1754762,-78.4774298,1,-86.56,CONNECTED
143,Avenida 6 de Diciembre,Guillermo Bodero,Residential,2777,-0.1936301,-78.481774,2,-81.36,CONNECTED
144,Avenida 6 de Diciembre,Hugo Moncayo,Residential,2788,-0.1725361,-78.4765811,1,-71.75,CONNECTED
145,Avenida 6 de Diciembre,Ignacio Bossano,Residential,2783,-0.1887888,-78.4803088,2,-94,CONNECTED
146,Avenida 6 de Diciembre,Irlanda,Residential,2779,-0.184064,-78.4790662,2,-100.54,CONNECTED
147,Avenida 6 de Diciembre,Jose Correa,Residential,2783,-0.1761628,-78.4776018,1,-88.52,CONNECTED
148,Avenida 6 de Diciembre,José Bosmediano,Residential,2777,-0.1874095,-78.4796478,2,-96.44,CONNECTED
149,Avenida 6 de Diciembre,José Bosmediano,Residential,2779,-0.1872615,-78.4795967,2,-96.66,CONNECTED
150,Avenida 6 de Diciembre,Juan Boussingault,Residential,2771,-0.1914583,-78.4809295,2,-88.56,CONNECTED
151,Avenida 6 de Diciembre,Julio Moreno,Residential,2782,-0.1808635,-78.4784811,1,-97.36,CONNECTED
152,Avenida 6 de Diciembre,La Niña,Residential,2786,-0.2000233,-78.4850759,2,-85.61,CONNECTED
153,Avenida 6 de Diciembre,Louvre Rousseau,Residential,2795,-0.1642339,-78.4753855,1,-91.79,CONNECTED
154,Avenida 6 de Diciembre,Luis Martínez,Dense Urban,2783,-0.1944285,-78.4822504,2,-109.46,CONNECTED
155,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2783,-0.1778757,-78.4779906,1,-92.45,CONNECTED
156,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2786,-0.1784842,-78.4780897,1,-93.6,CONNECTED
157,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2780,-0.1746806,-78.4772136,1,-83.86,CONNECTED
158,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2782,-0.1746002,-78.4771903,1,-83.55,CONNECTED
159,Avenida 6 de Diciembre,N44b,Residential,2790,-0.161436,-78.4763069,1,-96.51,CONNECTED
160,Avenida 6 de Diciembre,N44c,Residential,2791,-0.1612848,-78.4763899,1,-96.73,CONNECTED
161,Avenida 6 de Diciembre,Noruega,Residential,2779,-0.1864746,-78.4795166,2,-97.68,CONNECTED
162,Avenida 6 de Diciembre,Pasaje Carlos Tamayo,Residential,2784,-0.1807748,-78.4786214,1,-97.28,CONNECTED
163,Avenida 6 de Diciembre,Pasaje los Naranjos N35a,Residential,2783,-0.1812696,-78.478687,1,-97.95,CONNECTED
164,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2777,-0.1922849,-78.4813691,2,-85.95,CONNECTED
165,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2778,-0.1923412,-78.4812805,2,-85.99,CONNECTED
