Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
1,Abdón Calderón Muñoz,Avenida 6 de Diciembre,Residential,2793,-0.1609135,-78.476594,2,-97.26,CONNECTED
2,Abdón Calderón Muñoz,Avenida de los Shyris,Residential,2788,-0.1618944,-78.4782878,2,-96.2,CONNECTED
3,Abel Gilbert,Antonio Flores Jijón,Residential,2885,-0.1872205,-78.4725904,1,-117.48,CONNECTED
4,Abel Gilbert,Borrero,Park/Periphery,2881,-0.1862094,-78.4723991,4,-133.04,CONNECTED
5,Agustin Franco,Jiménez de la Espada,Residential,2803,-0.1933831,-78.4803204,1,-91.44,CONNECTED
6,Agustin Franco,Juan Ignacio Pareja,Residential,2780,-0.1930476,-78.4809704,1,-74.24,CONNECTED
7,Agustin Guerrero,Japón,Residential,2773,-0.1708426,-78.4828353,2,-91.53,CONNECTED
8,Agustin Guerrero,Jose Maria Ayora,Residential,2789,-0.1706294,-78.4839699,2,-93.72,CONNECTED
9,Agustin Guerrero,Julio Alarcon,Residential,2782,-0.170738,-78.4834328,2,-92.72,CONNECTED
10,Alberto Coloma Silva,Bernardo Rodriguez,Residential,2523,-0.1865628,-78.4475981,3,-125.53,CONNECTED
11,Alberto Guerrero Martínez,Federico Paez,Residential,2843,-0.1845403,-78.4750818,1,-114.4,CONNECTED
12,Alberto Guerrero Martínez,Francisco Arízaga Luque,Residential,2850,-0.1826192,-78.4740651,2,-117.49,CONNECTED
13,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1826168,-78.4735134,4,-109.14,CONNECTED
14,Alberto Guerrero Martínez,Guanguiltagua,Residential,2862,-0.1822902,-78.4734369,4,-108.95,CONNECTED
15,Alberto Guerrero Martínez,Unnamed Road,Residential,2843,-0.1843475,-78.4750253,1,-114.66,CONNECTED
16,Alberto Larrea,Juan Severino,Dense Urban,2776,-0.191137,-78.4825504,1,-90.83,CONNECTED
17,Alberto Mena,Avenida González Suárez,Residential,2851,-0.1941651,-78.4773459,1,-106.83,CONNECTED
18,Alberto Mena,Avenida la Coruña,Residential,2839,-0.1936849,-78.478356,1,-102.75,CONNECTED
19,Alberto Mena,Avenida la Coruña,Residential,2840,-0.1937234,-78.4782726,1,-103.12,CONNECTED
20,Alberto Mena,E13C,Residential,2847,-0.1940043,-78.4776656,1,-105.6,CONNECTED
21,Alemania,Avenida Río Amazonas,Park/Periphery,2784,-0.1861319,-78.4874426,1,-114.23,CONNECTED
22,Alfonso Pereira,Avenida 10 de Agosto,Residential,2791,-0.1711232,-78.4873791,2,-98.75,CONNECTED
23,Alfonso Pereira,Avenida Río Amazonas,Residential,2785,-0.1716202,-78.4847729,2,-95.11,CONNECTED
24,Alfonso Pereira,Avenida Río Amazonas,Residential,2787,-0.171598,-78.4848906,2,-95.29,CONNECTED
